field1,field2,field3,field4,field5,field6,_GC_TYPE,_CLEANADDR,_PNU,_X,_Y
2017,2017-05-01,주유소,폐업,SK태경주유소,서울특별시 구로구 경인로175 (오류동),정,서울특별시 구로구 경인로 175 (오류동),1153010800100060042,126.84068096710514,37.494946577999364
2017,2017-05-01,주유소,휴업,창선주유소,경상남도 남해군 동부대로2400 (창선면),정,경상남도 남해군 동부대로 2400 (창선면),4884039022104880001,128.00944626135686,34.87028007770761
2017,2017-05-05,주유소,폐업,시티주유소,충청남도 논산시 중앙로388 (취암동),정,충청남도 논산시 중앙로 388 (취암동),4423010500110510015,127.09002067584962,36.1991190954227
2017,2017-05-06,주유소,폐업,에프비에너지(주) 스타주유소,충청남도 천안시 서북구 봉정로312 (두정동),유,충청남도 천안시 서북구 봉정로 321 (두정동),4413310400114340000,127.14485552576706,36.83062730861136
2017,2017-04-13,주유소,등록취소,한누리주유소,경기도 김포시 김포대로2519 (월곶면),유,경기도 김포시 김포대로 2515-6 (월곶면),4157035023104650053,126.57049722492582,37.70082488465223
2017,2017-05-10,주유소,휴업,퇴계주유소,강원도 춘천시 퇴계로25 (퇴계동),정,강원특별자치도 춘천시 퇴계로 25 (퇴계동),5111012300111620001,127.72473430248512,37.86589818536743
2017,2017-04-14,주유소,폐업,경장주유소,전라북도 군산시 번영로112 (경장동),유,전북특별자치도 군산시 번영로 113 (경장동),5213013500105140012,126.73290721670107,35.96838970538473
2017,2017-05-01,주유소,휴업,씨앤에스유통(주)회덕아이씨주유소,대전광역시 대덕구 갑천도시고속도로1084 (신대동),정,대전광역시 대덕구 갑천도시고속도로 1084 (신대동),3023010500104330002,127.41266476549097,36.39104211738392
2017,2017-06-07,주유소,폐업,대경주유소,경상북도 경산시 경산로294 (중산동),유,경상북도 경산시 경산로 289 (중산동),4729011000105070000,128.7224010595833,35.83378256818552
2017,2017-04-10,주유소,휴업,장수로주유소,경상북도 영천시 장수로823 (화산면),정,경상북도 영천시 장수로 823 (화산면),4723033032103760005,128.86702794961042,36.01680834354881
2017,2017-05-08,주유소,휴업,51주유소,울산광역시 울주군 언양로629 (언양읍),정,울산광역시 울주군 언양로 629 (언양읍),3171025322106510000,129.18453852128405,35.55998493208319
2017,2017-05-08,주유소,휴업,옥산주유소,경상남도 진주시 남강로935 (상평동),정,경상남도 진주시 남강로 935 (상평동),4817012100102740003,128.10037325446507,35.17580766309276
2017,2017-05-04,주유소,신규등록,(유)남악아이씨 개발주유소,무안군 삼향읍 남악리 2604,정,전라남도 무안군 삼향읍 남악리 2604,4684025622126040000,126.48173837522543,34.8129810485504
2017,2017-04-18,주유소,신규등록,선진에너지,서산시 음암면 문양리670-6 (백제사신로 839),정,충청남도 서산시 음암면 문양리 670-6,4421037023106700006,126.50696674358046,36.830288458563416
2017,2017-05-11,주유소,폐업,동백제일주유소,경기도 용인시 기흥구 동백죽전대로497 (동백동),유,경기도 용인시 기흥구 동백죽전대로 493 (동백동),4146311500104440000,127.15120005033789,37.28258436490413
2017,2017-05-16,주유소,폐업,무궁화주유소,전라북도 전주시 완산구 서학로37 (동서학동),정,전북특별자치도 전주시 완산구 서학로 37 (동서학동),5211112500100930005,127.153578993208,35.80967743591612
2017,2017-04-18,주유소,휴업,SK네트웍스(주)송정셀프주유소,부산광역시 해운대구 해운대로1075 (송정동),정,부산광역시 해운대구 해운대로 1075 (송정동),2635010800101570004,129.1993757597069,35.18177948544234
2017,2017-05-11,주유소,폐업,오송제일주유소,충청북도 청주시 흥덕구 가로수로505 (강내면),유,충청북도 청주시 흥덕구 가로수로 506 (강내면),4311331031102840002,127.3561794214709,36.62321405877541
2017,2017-06-15,주유소,신규등록,세라에너지(주)야목역self주유소,경기도 화성시 매송면 매송로 283,정,경기도 화성시 매송로 283 (매송면),4159031025108020001,126.88581045032977,37.260433353385814
2017,2017-05-12,주유소,폐업,석정주유소,경기도 안성시 남파로89 (당왕동),정,경기도 안성시 남파로 89 (당왕동),4155012500104700000,127.2603152445344,37.016465951524545
2017,2017-05-11,주유소,휴업,산내주유소,충청북도 충주시 중원대로1914 (수안보면),정,충청북도 충주시 중원대로 1914 (수안보면),4313032528107250000,127.97064975136892,36.877074852796625
2017,2017-05-12,주유소,폐업,신기주유소,전라남도 여수시 쌍봉로240 (시전동),정,전라남도 여수시 쌍봉로 240 (시전동),4613013200111000000,127.68241105116799,34.7638989567966
2017,2017-05-18,주유소,폐업,대륙에너지,경상북도 경주시 산업로5406 (강동면),정,경상북도 경주시 산업로 5406 (강동면),4713037021107390001,129.24616373762706,35.958532727307826
2017,2017-04-24,주유소,휴업,백산주유소,전라북도 부안군 부평로214-20 (백산면),정,전북특별자치도 부안군 부평로 214-20 (백산면),5280038028106510002,126.78100456595652,35.70513948453127
2017,2017-05-18,주유소,폐업,고당산주유소,경상북도 김천시 금감로1186 (감천면),정,경상북도 김천시 금감로 1186 (감천면),4715039021103560001,128.13088472921388,36.03509700689955
2017,2017-04-25,주유소,폐업,서부주유소,충청북도 청주시 흥덕구 공단로91 (복대동),유,충청북도 청주시 흥덕구 공단로 92 (복대동),4311311400102650029,127.43972458906859,36.63987679112381
2017,2017-05-18,주유소,신규등록,신광주유소,인천광역시 강화군 화도면 여차리 378-2,정,인천광역시 강화군 화도면 여차리 378-2,2871034028103780002,126.3987531490707,37.60351348576931
2017,2017-05-18,주유소,휴업,현대신원주유소,충청남도 공주시 영규대사로163 (계룡면),정,충청남도 공주시 영규대사로 163 (계룡면),4415033031200790000,127.13867660390807,36.33218748425219
2017,2017-06-21,주유소,신규등록,KH에너지(주)직영 삼국유사군위주유소(상주방향),경상북도 군위군 부계면 치산효령로 989-23,대,경상북도,4700000000000000000,128.63672036231335,36.36201475671573
2017,2017-05-18,주유소,신규등록,대호셀프주유소,전남 여수시 상암로 224(호명동),정,전라남도 여수시 상암로 224 (호명동),4613015100115830000,127.71396842198374,34.794010655954004
2017,2017-05-25,주유소,폐업,장곡스타주유소,경기도 시흥시 황고개로542 (장곡동),유,경기도 시흥시 황고개로 541 (장곡동),4139013000108950001,126.78863578615024,37.37895618865204
2017,2017-04-14,주유소,휴업,행복가득주유소,대전광역시 중구 보문산로86 (산성동),정,대전광역시 중구 보문산로 86 (산성동),3014011700102980005,127.38992030979013,36.30528775421438
2017,2017-05-01,주유소,휴업,마트몰(주)대남로주유소,광주광역시 남구 대남대로399 (월산동),정,광주광역시 남구 대남대로 399 (월산동),2915510400109300004,126.88944700698875,35.146443676637986
2017,2017-04-27,주유소,신규등록,GS파트너주유소,경기도 이천시 중부대로908-3 (호법면),정,경기도 이천시 중부대로 908-3 (호법면),4150033021108000008,127.43291726596951,37.24370747132327
2017,2017-05-23,주유소,신규등록,한밭대앞self주유소,대전광역시 유성구 학하서로111 (덕명동),정,대전광역시 유성구 학하서로 111 (덕명동),3020011300106130001,127.29950554700854,36.347453162292936
2017,2017-05-25,주유소,신규등록,알뜰진주주유소,경상남도 진주시 진주대로2248 (명석면),정,경상남도 진주시 진주대로 2248 (명석면),4817044028103480012,127.9947011942547,35.25191879621075
2017,2017-05-24,주유소,신규등록,청남주유소,충청북도 옥천군 용방3길2-1 (이원면),정,충청북도 옥천군 용방3길 2-1 (이원면),4373036035103420027,127.65322769718635,36.250583637164624
2017,2017-05-25,주유소,폐업,구성주유소,경기도 용인시 기흥구 용구대로2432 (마북동),유,경기도 용인시 기흥구 용구대로 2428 (마북동),4146311300105530008,127.10659805554046,37.303388038213754
2017,2017-06-27,주유소,휴업,삼거리주유소,경상북도 영양군 영양로3260 (일월면),정,경상북도 영양군 영양로 3260 (일월면),4776033034101030004,129.16163381986982,36.75371962592657
2017,2017-05-25,주유소,폐업,상록수주유소,충청북도 진천군 농다리로1442 (진천읍),정,충청북도 진천군 농다리로 1442 (진천읍),4375025022103870001,127.45508409896948,36.84826317390731
2017,2017-05-30,주유소,휴업,SK네트웍스(주)현대주유소,강원도 춘천시 중앙로171 (근화동),정,강원특별자치도 춘천시 중앙로 171 (근화동),5111011700107090010,127.71658006596263,37.87450111390879
2017,2017-05-02,주유소,폐업,서창주유소,충청남도 서산시 안견로326 (읍내동),정,충청남도 서산시 안견로 326 (읍내동),4421010100100770001,126.44759242157193,36.77769528758816
2017,2017-04-18,주유소,폐업,안내주유소,충청북도 옥천군 안내보은로97 (안내면),정,충청북도 옥천군 안내보은로 97 (안내면),4373033022103430003,127.6689320453238,36.395960141799314
2017,2017-05-04,주유소,폐업,영덕고속주유소,경상북도 영덕군 경동로6127 (지품면),정,경상북도 영덕군 경동로 6127 (지품면),4777034047102230001,129.19628915410198,36.47634169968307
