연도,변동사유발생연월일,판매업종류,구분,업체명,소재지,위도,경도
2015,2015-04-01,주유소,휴업,제2부자주유소,경상남도 양산시 중앙로19 (다방동),35.3330661822765,129.039326798323
2015,2015-04-01,주유소,폐업,성계주유소,경상북도 구미시 형곡로162 (형곡동),36.1072007013679,128.333928817507
2015,2015-04-02,주유소,휴업,경기주유소,경기도 가평군 경춘로1013 (청평면),37.7516100433697,127.432402282012
2015,2015-04-02,주유소,휴업,오일파크 하성주유소,경기도 김포시 금포로1925 (하성면),37.6982548891064,126.66200799129
2015,2015-04-02,주유소,폐업,금아주유소,경기도 수원시 영통구 덕영대로1469 (망포동),,
2015,2015-04-02,주유소,폐업,충무주유소,경상남도 통영시 동호로18 (정량동),34.8452669679921,128.432975518779
2015,2015-04-02,주유소,폐업,동명석유,부산광역시 동래구 명서로107-1 (명장동,35.2126519927232,129.100178105851
2015,2015-04-02,주유소,휴업,구봉주유소,전라남도 여수시 어항로42 (국동),34.7307363278306,127.722650425355
2015,2015-04-03,주유소,휴업,평택휴게소주유소,경기도 평택시 서동대로2043 (오성면),37.0079885759662,126.969308341934
2015,2015-04-03,주유소,폐업,구봉석유,대전광역시 유성구 진잠로140번길52 (원내동),36.3010831287662,127.317314360349
2015,2015-04-03,주유소,휴업,대양석유㈜ 보라매주유소,서울특별시 관악구 보라매로26 (봉천동),37.4915977369262,126.927219042514
2015,2015-04-03,주유소,폐업,충만주유소,충청남도 금산군 서대산로685 (추부면),36.2370214943383,127.512496697717
2015,2015-04-06,주유소,휴업,금호주유소,경기도 의왕시 안양판교로128 (포일동),,
2015,2015-04-06,주유소,휴업,만당주유소,경기도 이천시 서동대로8408 (장호원읍),37.1087064386738,127.57209231087
2015,2015-04-06,주유소,폐업,평촌주유소,대전광역시 서구 벌곡로394 (평촌동),36.2397645512092,127.320113955648
2015,2015-04-06,주유소,폐업,풍차주유소,전라북도 익산시 무왕로2152 (왕궁면),,
2015,2015-04-06,주유소,휴업,대지주유소,충남 천안시 동남구 충절로 672,,
2015,2015-04-06,주유소,폐업,대신주유소,충청북도 청주시 청원구 향군로108번길1 (우암동),,
2015,2015-04-07,주유소,휴업,상동주유소,대구광역시 수성구 수성로93 (상동),35.8338103257966,128.611218504351
2015,2015-04-07,주유소,휴업,소문만복래주유소,대전 중구 대종로 416,,
2015,2015-04-09,주유소,휴업,상주아이씨주유소,경상북도 상주시 영남제일로1266 (외답동),36.4188231702845,128.200951966059
2015,2015-04-09,주유소,휴업,서부농협주유소,경상북도 성주군 가천로29 (가천면),35.8827246599228,128.168978650227
2015,2015-04-09,주유소,폐업,꿈동산주유소,서울특별시 강북구 월계로191 (번동),37.6211526622517,127.045257274538
2015,2015-04-10,주유소,폐업,미래주유소,경상남도 김해시 장유로402 (신문동),,
2015,2015-04-10,주유소,폐업,부일주유소,부산광역시 기장군 정관로1126 (장안읍),,
2015,2015-04-10,주유소,휴업,㈜소모석유 금천제일주유소,전라남도 나주시 영산로5703 (금천면),35.0355762787652,126.752543318513
